Circuit delay: 2364.17 ps

Gate slacks:
INPUT-n400: 1919.92 ps
AND-n401: 2600.59 ps
INPUT-n402: 1919.92 ps
AND-n403: 2600.59 ps
INPUT-n404: 1919.92 ps
AND-n405: 2600.59 ps
INPUT-n406: 1919.92 ps
AND-n407: 2600.59 ps
INPUT-n408: 1919.92 ps
AND-n409: 2600.59 ps
INPUT-n410: 1919.92 ps
AND-n411: 2600.59 ps
INPUT-n412: 1919.92 ps
AND-n413: 2600.59 ps
INPUT-n414: 1919.92 ps
AND-n415: 2600.59 ps
INPUT-n416: 1919.92 ps
AND-n417: 2600.59 ps
INPUT-n418: 1919.92 ps
AND-n419: 2600.59 ps
INPUT-n420: 1919.92 ps
AND-n421: 2600.59 ps
INPUT-n422: 1919.92 ps
AND-n423: 2600.59 ps
INPUT-n424: 1919.92 ps
AND-n425: 2600.59 ps
INPUT-n426: 1919.92 ps
AND-n427: 2600.59 ps
INPUT-n428: 1919.92 ps
AND-n429: 2600.59 ps
INPUT-n430: 1919.92 ps
AND-n431: 2600.59 ps
INPUT-n432: 1919.92 ps
AND-n433: 2600.59 ps
INPUT-n434: 1919.92 ps
AND-n435: 2600.59 ps
INPUT-n436: 1919.92 ps
AND-n437: 2600.59 ps
INPUT-n438: 1919.92 ps
AND-n439: 2600.59 ps
INPUT-n440: 1919.92 ps
AND-n441: 2600.59 ps
INPUT-n442: 1919.92 ps
AND-n443: 2600.59 ps
INPUT-n444: 1919.92 ps
AND-n445: 2600.59 ps
INPUT-n446: 1919.92 ps
AND-n447: 2600.59 ps
INPUT-n448: 1919.92 ps
AND-n449: 2600.59 ps
INPUT-n450: 1919.92 ps
AND-n451: 2600.59 ps
INPUT-n452: 1919.92 ps
AND-n453: 2600.59 ps
INPUT-n454: 1919.92 ps
AND-n455: 2600.59 ps
INPUT-n456: 1919.92 ps
AND-n457: 2600.59 ps
INPUT-n458: 1919.92 ps
AND-n459: 2600.59 ps
INPUT-n460: 1541.86 ps
NAND-n461: 2600.59 ps
INPUT-n462: 1539.93 ps
NAND-n463: 2600.59 ps
INPUT-n464: 1525.62 ps
NAND-n465: 2600.59 ps
INPUT-n466: 1515.52 ps
NAND-n467: 2600.59 ps
INPUT-n468: 1612.56 ps
NAND-n469: 2600.59 ps
INPUT-n470: 1558.81 ps
NAND-n471: 2600.59 ps
INPUT-n472: 1575.29 ps
NAND-n473: 2600.59 ps
INPUT-n474: 1650.96 ps
NAND-n475: 2600.59 ps
INPUT-n476: 1656.40 ps
NAND-n477: 2600.59 ps
INPUT-n478: 1703.28 ps
NAND-n479: 2600.59 ps
INPUT-n480: 1643.57 ps
NAND-n481: 2600.59 ps
INPUT-n482: 1678.54 ps
NAND-n483: 2600.59 ps
INPUT-n484: 1781.67 ps
NAND-n485: 2600.59 ps
INPUT-n486: 1819.07 ps
NAND-n487: 2600.59 ps
INPUT-n488: 1837.90 ps
NAND-n489: 2600.59 ps
INPUT-n490: 1802.42 ps
NAND-n491: 2600.59 ps
INPUT-n492: 1852.87 ps
