Circuit delay: 0.00 ps

Gate slacks:
INPUT-n361: -1.06 ps
NAND-n362: -0.81 ps
INPUT-n363: -1.28 ps
NAND-n364: -0.80 ps
INPUT-n365: -1.28 ps
NAND-n366: -0.80 ps
INPUT-n367: -1.32 ps
NAND-n368: -0.80 ps
INPUT-n369: -1.33 ps
NAND-n370: -0.80 ps
INPUT-n371: -1.34 ps
NAND-n372: -0.80 ps
INPUT-n373: -1.34 ps
NAND-n374: -0.80 ps
INPUT-n375: -1.38 ps
NAND-n376: -0.80 ps
INPUT-n377: -1.06 ps
NAND-n378: -0.80 ps
INPUT-n379: -1.28 ps
NAND-n380: -0.76 ps
INPUT-n381: -1.28 ps
NAND-n382: -0.76 ps
INPUT-n383: -1.32 ps
NAND-n384: -0.76 ps
INPUT-n385: -1.33 ps
NAND-n386: -0.76 ps
INPUT-n387: -1.34 ps
NAND-n388: -0.76 ps
INPUT-n389: -1.34 ps
NAND-n390: -0.76 ps
INPUT-n391: -1.38 ps
NAND-n392: -0.78 ps
INPUT-n393: -1.06 ps
NAND-n394: -0.76 ps
INPUT-n395: -1.28 ps
NAND-n396: -0.80 ps
INPUT-n397: -1.28 ps
NAND-n398: -0.80 ps
INPUT-n399: -1.32 ps
NAND-n400: -0.80 ps
INPUT-n401: -1.33 ps
NAND-n402: -0.80 ps
INPUT-n403: -1.34 ps
NAND-n404: -0.80 ps
INPUT-n405: -1.34 ps
NAND-n406: -0.80 ps
INPUT-n407: -1.38 ps
NAND-n408: -0.80 ps
INPUT-n409: -1.06 ps
NAND-n410: -0.80 ps
INPUT-n411: -1.28 ps
NAND-n412: -0.76 ps
INPUT-n413: -1.28 ps
NAND-n414: -0.76 ps
INPUT-n415: -1.32 ps
NAND-n416: -0.76 ps
INPUT-n417: -1.33 ps
NAND-n418: -0.76 ps
INPUT-n419: -1.34 ps
NAND-n420: -0.76 ps
INPUT-n421: -1.34 ps
NAND-n422: -0.76 ps
INPUT-n423: -1.38 ps
NAND-n424: -0.78 ps
INPUT-n425: -1.06 ps
NAND-n426: -0.76 ps
INPUT-n427: -1.28 ps
NAND-n428: -0.76 ps
INPUT-n429: -1.28 ps
NAND-n430: -0.76 ps
INPUT-n431: -1.32 ps
NAND-n432: -0.76 ps
